candidate_id,rank,score,reasoning
CAND_0081846,1,0.1445,Exceptional technical alignment with 6.7 years of production history as a Lead AI Engineer at Razorpay. Strong background handling information retrieval paradigms fitting the founding team profile.
CAND_0055905,2,0.14,Exceptional technical alignment with 8.1 years of production history as a Senior Machine Learning Engineer at Flipkart. Strong background handling information retrieval paradigms fitting the founding team profile.
CAND_0046064,3,0.1291,Exceptional technical alignment with 8.9 years of production history as a Senior NLP Engineer at Salesforce. Strong background handling information retrieval paradigms fitting the founding team profile.
CAND_0018499,4,0.1158,Exceptional technical alignment with 7.2 years of production history as a Senior Machine Learning Engineer at Zomato. Strong background handling information retrieval paradigms fitting the founding team profile.
CAND_0046525,5,0.1129,Exceptional technical alignment with 6.1 years of production history as a Senior Machine Learning Engineer at Genpact AI. Strong background handling information retrieval paradigms fitting the founding team profile.
CAND_0005260,6,0.1082,Exceptional technical alignment with 5.2 years of production history as a Senior NLP Engineer at Netflix. Strong background handling information retrieval paradigms fitting the founding team profile.
CAND_0057563,7,0.1071,Exceptional technical alignment with 6.8 years of production history as a NLP Engineer at Locobuzz. Strong background handling information retrieval paradigms fitting the founding team profile.
CAND_0071974,8,0.1057,Exceptional technical alignment with 7.8 years of production history as a Senior AI Engineer at Netflix. Strong background handling information retrieval paradigms fitting the founding team profile.
CAND_0086022,9,0.1049,Exceptional technical alignment with 5.3 years of production history as a Senior Applied Scientist at Sarvam AI. Strong background handling information retrieval paradigms fitting the founding team profile.
CAND_0011687,10,0.1039,Exceptional technical alignment with 7.8 years of production history as a Senior NLP Engineer at Niramai. Strong background handling information retrieval paradigms fitting the founding team profile.
CAND_0053591,11,0.1002,Solid engineering metrics with 5.3 years of application deployment history. Demonstrated production experience scaling pipelines with stable platform activity metrics.
CAND_0008425,12,0.0984,Solid engineering metrics with 7.8 years of application deployment history. Demonstrated production experience scaling pipelines with stable platform activity metrics.
CAND_0079387,13,0.0983,Solid engineering metrics with 6.9 years of application deployment history. Demonstrated production experience scaling pipelines with stable platform activity metrics.
CAND_0002025,14,0.0977,Solid engineering metrics with 5.9 years of application deployment history. Demonstrated production experience scaling pipelines with stable platform activity metrics.
CAND_0052335,15,0.0973,Solid engineering metrics with 6.4 years of application deployment history. Demonstrated production experience scaling pipelines with stable platform activity metrics.
CAND_0040887,16,0.0972,Solid engineering metrics with 4.7 years of application deployment history. Demonstrated production experience scaling pipelines with stable platform activity metrics.
CAND_0005649,17,0.0939,Solid engineering metrics with 7.4 years of application deployment history. Demonstrated production experience scaling pipelines with stable platform activity metrics.
CAND_0053695,18,0.0938,Solid engineering metrics with 5.8 years of application deployment history. Demonstrated production experience scaling pipelines with stable platform activity metrics.
CAND_0010685,19,0.0937,Solid engineering metrics with 6.7 years of application deployment history. Demonstrated production experience scaling pipelines with stable platform activity metrics.
CAND_0088025,20,0.093,Solid engineering metrics with 8.6 years of application deployment history. Demonstrated production experience scaling pipelines with stable platform activity metrics.
CAND_0029367,21,0.092,Solid engineering metrics with 5.7 years of application deployment history. Demonstrated production experience scaling pipelines with stable platform activity metrics.
CAND_0069905,22,0.092,Solid engineering metrics with 6.6 years of application deployment history. Demonstrated production experience scaling pipelines with stable platform activity metrics.
CAND_0062247,23,0.091,Solid engineering metrics with 7.3 years of application deployment history. Demonstrated production experience scaling pipelines with stable platform activity metrics.
CAND_0081686,24,0.0885,Solid engineering metrics with 6.0 years of application deployment history. Demonstrated production experience scaling pipelines with stable platform activity metrics.
CAND_0064270,25,0.0863,Solid engineering metrics with 4.2 years of application deployment history. Demonstrated production experience scaling pipelines with stable platform activity metrics.
CAND_0086151,26,0.0857,Solid engineering metrics with 7.7 years of application deployment history. Demonstrated production experience scaling pipelines with stable platform activity metrics.
CAND_0060054,27,0.0854,Solid engineering metrics with 6.4 years of application deployment history. Demonstrated production experience scaling pipelines with stable platform activity metrics.
CAND_0079064,28,0.0848,Solid engineering metrics with 5.2 years of application deployment history. Demonstrated production experience scaling pipelines with stable platform activity metrics.
CAND_0083307,29,0.0843,Solid engineering metrics with 7.8 years of application deployment history. Demonstrated production experience scaling pipelines with stable platform activity metrics.
CAND_0054123,30,0.084,Solid engineering metrics with 4.7 years of application deployment history. Demonstrated production experience scaling pipelines with stable platform activity metrics.
CAND_0042029,31,0.0826,Solid engineering metrics with 6.5 years of application deployment history. Demonstrated production experience scaling pipelines with stable platform activity metrics.
CAND_0036184,32,0.0824,Solid engineering metrics with 6.0 years of application deployment history. Demonstrated production experience scaling pipelines with stable platform activity metrics.
CAND_0089552,33,0.0799,Solid engineering metrics with 6.0 years of application deployment history. Demonstrated production experience scaling pipelines with stable platform activity metrics.
CAND_0051292,34,0.0795,Solid engineering metrics with 5.2 years of application deployment history. Demonstrated production experience scaling pipelines with stable platform activity metrics.
CAND_0044222,35,0.0794,Solid engineering metrics with 7.7 years of application deployment history. Demonstrated production experience scaling pipelines with stable platform activity metrics.
CAND_0077337,36,0.0787,Solid engineering metrics with 7.0 years of application deployment history. Demonstrated production experience scaling pipelines with stable platform activity metrics.
CAND_0043228,37,0.0775,Solid engineering metrics with 6.8 years of application deployment history. Demonstrated production experience scaling pipelines with stable platform activity metrics.
CAND_0093912,38,0.0773,Solid engineering metrics with 5.3 years of application deployment history. Demonstrated production experience scaling pipelines with stable platform activity metrics.
CAND_0018722,39,0.0771,Solid engineering metrics with 6.6 years of application deployment history. Demonstrated production experience scaling pipelines with stable platform activity metrics.
CAND_0030827,40,0.0768,Solid engineering metrics with 5.4 years of application deployment history. Demonstrated production experience scaling pipelines with stable platform activity metrics.
CAND_0041669,41,0.0762,Solid engineering metrics with 8.0 years of application deployment history. Demonstrated production experience scaling pipelines with stable platform activity metrics.
CAND_0044855,42,0.0759,Solid engineering metrics with 6.6 years of application deployment history. Demonstrated production experience scaling pipelines with stable platform activity metrics.
CAND_0028793,43,0.0738,Solid engineering metrics with 7.2 years of application deployment history. Demonstrated production experience scaling pipelines with stable platform activity metrics.
CAND_0070398,44,0.0733,Solid engineering metrics with 7.2 years of application deployment history. Demonstrated production experience scaling pipelines with stable platform activity metrics.
CAND_0026532,45,0.0728,Solid engineering metrics with 4.8 years of application deployment history. Demonstrated production experience scaling pipelines with stable platform activity metrics.
CAND_0013613,46,0.0725,Solid engineering metrics with 4.7 years of application deployment history. Demonstrated production experience scaling pipelines with stable platform activity metrics.
CAND_0039383,47,0.0722,Solid engineering metrics with 7.1 years of application deployment history. Demonstrated production experience scaling pipelines with stable platform activity metrics.
CAND_0030348,48,0.072,Solid engineering metrics with 4.5 years of application deployment history. Demonstrated production experience scaling pipelines with stable platform activity metrics.
CAND_0064326,49,0.0719,Solid engineering metrics with 7.6 years of application deployment history. Demonstrated production experience scaling pipelines with stable platform activity metrics.
CAND_0078492,50,0.0713,Solid engineering metrics with 5.1 years of application deployment history. Demonstrated production experience scaling pipelines with stable platform activity metrics.
CAND_0007009,51,0.0712,Possesses adjacent system infrastructure capabilities with 7.9 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0020877,52,0.0711,Possesses adjacent system infrastructure capabilities with 5.1 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0081053,53,0.0709,Possesses adjacent system infrastructure capabilities with 5.4 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0033861,54,0.0708,Possesses adjacent system infrastructure capabilities with 8.0 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0007411,55,0.0707,Possesses adjacent system infrastructure capabilities with 8.0 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0084819,56,0.0702,Possesses adjacent system infrastructure capabilities with 4.5 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0030953,57,0.0699,Possesses adjacent system infrastructure capabilities with 7.8 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0031593,58,0.0684,Possesses adjacent system infrastructure capabilities with 7.8 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0070485,59,0.0675,Possesses adjacent system infrastructure capabilities with 6.4 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0027691,60,0.0665,Possesses adjacent system infrastructure capabilities with 6.5 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0003977,61,0.0663,Possesses adjacent system infrastructure capabilities with 4.6 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0057701,62,0.0659,Possesses adjacent system infrastructure capabilities with 4.1 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0017960,63,0.0647,Possesses adjacent system infrastructure capabilities with 7.7 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0007412,64,0.0645,Possesses adjacent system infrastructure capabilities with 7.4 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0096172,65,0.0645,Possesses adjacent system infrastructure capabilities with 5.2 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0027801,66,0.0642,Possesses adjacent system infrastructure capabilities with 7.4 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0009691,67,0.064,Possesses adjacent system infrastructure capabilities with 6.2 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0094759,68,0.0623,Possesses adjacent system infrastructure capabilities with 8.6 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0015578,69,0.062,Possesses adjacent system infrastructure capabilities with 5.4 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0049896,70,0.0619,Possesses adjacent system infrastructure capabilities with 7.3 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0052682,71,0.0618,Possesses adjacent system infrastructure capabilities with 6.6 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0040117,72,0.0614,Possesses adjacent system infrastructure capabilities with 6.5 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0075439,73,0.0603,Possesses adjacent system infrastructure capabilities with 4.3 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0041610,74,0.0592,Possesses adjacent system infrastructure capabilities with 6.7 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0076831,75,0.0583,Possesses adjacent system infrastructure capabilities with 4.0 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0018549,76,0.0582,Possesses adjacent system infrastructure capabilities with 6.8 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0060072,77,0.0567,Possesses adjacent system infrastructure capabilities with 5.7 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0006557,78,0.0564,Possesses adjacent system infrastructure capabilities with 7.9 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0050876,79,0.0564,Possesses adjacent system infrastructure capabilities with 6.0 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0012957,80,0.0561,Possesses adjacent system infrastructure capabilities with 4.9 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0065195,81,0.0553,Possesses adjacent system infrastructure capabilities with 5.1 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0098846,82,0.0553,Possesses adjacent system infrastructure capabilities with 7.6 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0037566,83,0.0543,Possesses adjacent system infrastructure capabilities with 6.9 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0074225,84,0.0532,Possesses adjacent system infrastructure capabilities with 4.3 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0064904,85,0.0531,Possesses adjacent system infrastructure capabilities with 4.9 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0061655,86,0.053,Possesses adjacent system infrastructure capabilities with 4.6 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0024466,87,0.0525,Possesses adjacent system infrastructure capabilities with 5.2 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0036437,88,0.0521,Possesses adjacent system infrastructure capabilities with 4.8 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0030031,89,0.0515,Possesses adjacent system infrastructure capabilities with 5.7 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0074735,90,0.0512,Possesses adjacent system infrastructure capabilities with 5.5 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0051004,91,0.0501,Possesses adjacent system infrastructure capabilities with 4.7 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0083879,92,0.0496,Possesses adjacent system infrastructure capabilities with 7.1 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0065878,93,0.0495,Possesses adjacent system infrastructure capabilities with 7.8 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0047721,94,0.0486,Possesses adjacent system infrastructure capabilities with 7.0 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0080766,95,0.0483,Possesses adjacent system infrastructure capabilities with 8.8 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0078042,96,0.0481,Possesses adjacent system infrastructure capabilities with 4.7 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0051615,97,0.047,Possesses adjacent system infrastructure capabilities with 4.6 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0004402,98,0.0466,Possesses adjacent system infrastructure capabilities with 6.0 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0037944,99,0.0464,Possesses adjacent system infrastructure capabilities with 4.9 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0043860,100,0.046,Possesses adjacent system infrastructure capabilities with 6.1 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
